Movimiento Natural de la Población (Resultados Provisionales)
Matrimonios
Matrimonios por provincia de residencia del matrimonio, mes de celebración y forma de celebración del matrimonio
Unidades: matrimonios

;Enero;;;;;Febrero;;;;;Marzo;;;;;Abril;;;;;Mayo;;;;;Junio;;;;;Julio;;;;;Agosto;;;;;Septiembre;;;;;Octubre;;;;;Noviembre;;;;;Diciembre;;;;;Total;;;;;
;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;
Girona;93.0;6.0;86.0;1.0;..;130.0;6.0;121.0;3.0;..;161.0;9.0;152.0;..;..;221.0;25.0;193.0;3.0;..;264.0;34.0;229.0;1.0;..;396.0;43.0;347.0;5.0;1.0;378.0;51.0;322.0;4.0;1.0;170.0;21.0;148.0;1.0;..;448.0;78.0;368.0;2.0;..;255.0;38.0;214.0;2.0;1.0;186.0;12.0;174.0;..;..;131.0;5.0;123.0;1.0;2.0;2833.0;328.0;2477.0;23.0;5.0;
Granada;81.0;11.0;69.0;1.0;..;106.0;9.0;94.0;3.0;..;168.0;25.0;141.0;1.0;1.0;200.0;64.0;135.0;1.0;..;213.0;65.0;145.0;..;3.0;454.0;172.0;276.0;1.0;5.0;427.0;181.0;236.0;1.0;9.0;296.0;147.0;143.0;3.0;3.0;597.0;262.0;326.0;3.0;6.0;339.0;137.0;199.0;1.0;2.0;174.0;21.0;151.0;2.0;..;143.0;22.0;121.0;..;..;3198.0;1116.0;2036.0;17.0;29.0;
Guadalajara;21.0;2.0;19.0;..;..;37.0;3.0;34.0;..;..;43.0;9.0;34.0;..;..;54.0;14.0;40.0;..;..;74.0;20.0;54.0;..;..;155.0;45.0;110.0;..;..;162.0;51.0;110.0;..;1.0;70.0;19.0;48.0;2.0;1.0;153.0;50.0;100.0;3.0;..;80.0;14.0;65.0;1.0;..;53.0;4.0;48.0;1.0;..;48.0;2.0;46.0;..;..;950.0;233.0;708.0;7.0;2.0;
Huelva;47.0;2.0;43.0;..;2.0;51.0;5.0;45.0;..;1.0;92.0;20.0;70.0;1.0;1.0;99.0;40.0;57.0;..;2.0;124.0;34.0;88.0;..;2.0;213.0;76.0;133.0;1.0;3.0;221.0;95.0;120.0;2.0;4.0;178.0;79.0;94.0;..;5.0;316.0;158.0;146.0;1.0;11.0;154.0;78.0;71.0;..;5.0;73.0;11.0;61.0;..;1.0;80.0;18.0;58.0;..;4.0;1648.0;616.0;986.0;5.0;41.0;
Huesca;18.0;..;18.0;..;..;20.0;1.0;18.0;1.0;..;40.0;6.0;33.0;..;1.0;39.0;7.0;30.0;..;2.0;60.0;15.0;42.0;..;3.0;98.0;28.0;65.0;3.0;2.0;74.0;24.0;44.0;..;6.0;50.0;15.0;31.0;1.0;3.0;108.0;42.0;53.0;..;13.0;51.0;14.0;29.0;..;8.0;34.0;3.0;29.0;..;2.0;24.0;1.0;22.0;..;1.0;616.0;156.0;414.0;5.0;41.0;
Jaén;33.0;..;33.0;..;..;70.0;7.0;63.0;..;..;132.0;44.0;86.0;1.0;1.0;170.0;90.0;80.0;..;..;146.0;61.0;84.0;1.0;..;342.0;185.0;155.0;1.0;1.0;330.0;217.0;113.0;..;..;237.0;148.0;89.0;..;..;397.0;250.0;147.0;..;..;254.0;138.0;115.0;1.0;..;122.0;37.0;85.0;..;..;74.0;20.0;54.0;..;..;2307.0;1197.0;1104.0;4.0;2.0;
León;40.0;1.0;38.0;..;1.0;45.0;1.0;44.0;..;..;73.0;5.0;67.0;..;1.0;83.0;11.0;68.0;1.0;3.0;116.0;27.0;87.0;1.0;1.0;142.0;35.0;107.0;..;..;232.0;84.0;138.0;1.0;9.0;195.0;68.0;123.0;1.0;3.0;241.0;91.0;147.0;1.0;2.0;113.0;23.0;89.0;..;1.0;69.0;3.0;62.0;..;4.0;78.0;3.0;72.0;..;3.0;1427.0;352.0;1042.0;5.0;28.0;
Lleida;48.0;2.0;46.0;..;..;46.0;2.0;44.0;..;..;79.0;4.0;75.0;..;..;140.0;21.0;118.0;1.0;..;137.0;23.0;114.0;..;..;214.0;47.0;167.0;..;..;208.0;42.0;165.0;1.0;..;92.0;23.0;69.0;..;..;212.0;60.0;151.0;..;1.0;108.0;15.0;92.0;1.0;..;73.0;6.0;65.0;2.0;..;65.0;5.0;59.0;1.0;..;1422.0;250.0;1165.0;6.0;1.0;
Lugo;40.0;1.0;38.0;1.0;..;48.0;4.0;43.0;..;1.0;49.0;2.0;47.0;..;..;73.0;6.0;67.0;..;..;97.0;24.0;73.0;..;..;101.0;27.0;74.0;..;..;159.0;52.0;104.0;1.0;2.0;118.0;55.0;62.0;1.0;..;175.0;48.0;123.0;1.0;3.0;92.0;20.0;72.0;..;..;49.0;5.0;43.0;1.0;..;63.0;5.0;57.0;..;1.0;1064.0;249.0;803.0;5.0;7.0;
Madrid;784.0;55.0;714.0;3.0;12.0;1030.0;85.0;911.0;7.0;27.0;1447.0;219.0;1191.0;7.0;30.0;1727.0;374.0;1307.0;10.0;36.0;2345.0;512.0;1766.0;9.0;58.0;3994.0;1130.0;2749.0;12.0;103.0;3602.0;1217.0;2279.0;19.0;87.0;1254.0;476.0;746.0;8.0;24.0;4151.0;1497.0;2560.0;20.0;74.0;2395.0;691.0;1663.0;6.0;35.0;1448.0;216.0;1189.0;6.0;37.0;1121.0;158.0;917.0;6.0;40.0;25298.0;6630.0;17992.0;113.0;563.0;
