MNP Estadística de Nacimientos
Nacimientos.Datos por provincias y capitales
Nacimientos por residencia de la madre (provincia), meses del año y  sexo del nacido.
Unidades: Nacimientos

;Total;;;Enero;;;Febrero;;;Marzo;;;Abril;;;Mayo;;;Junio;;;Julio;;;Agosto;;;Septiembre;;;Octubre;;;Noviembre;;;Diciembre;;;
;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;
Soria;591.0;304.0;287.0;47.0;27.0;20.0;39.0;18.0;21.0;43.0;23.0;20.0;65.0;27.0;38.0;59.0;25.0;34.0;48.0;27.0;21.0;57.0;35.0;22.0;47.0;23.0;24.0;42.0;26.0;16.0;51.0;29.0;22.0;50.0;26.0;24.0;43.0;18.0;25.0;
Tarragona;7006.0;3570.0;3436.0;601.0;307.0;294.0;568.0;267.0;301.0;580.0;308.0;272.0;587.0;304.0;283.0;544.0;283.0;261.0;533.0;255.0;278.0;620.0;324.0;296.0;649.0;336.0;313.0;583.0;317.0;266.0;600.0;309.0;291.0;577.0;285.0;292.0;564.0;275.0;289.0;
Teruel;946.0;472.0;474.0;79.0;43.0;36.0;62.0;34.0;28.0;88.0;41.0;47.0;66.0;25.0;41.0;80.0;37.0;43.0;73.0;38.0;35.0;90.0;41.0;49.0;88.0;40.0;48.0;71.0;41.0;30.0;88.0;47.0;41.0;91.0;50.0;41.0;70.0;35.0;35.0;
Toledo;6033.0;3058.0;2975.0;535.0;298.0;237.0;456.0;230.0;226.0;496.0;255.0;241.0;437.0;229.0;208.0;518.0;254.0;264.0;498.0;234.0;264.0;558.0;271.0;287.0;550.0;282.0;268.0;483.0;248.0;235.0;521.0;267.0;254.0;514.0;238.0;276.0;467.0;252.0;215.0;
Valencia/Valéncia;20494.0;10622.0;9872.0;1690.0;874.0;816.0;1593.0;822.0;771.0;1699.0;901.0;798.0;1515.0;777.0;738.0;1727.0;886.0;841.0;1615.0;817.0;798.0;1744.0;942.0;802.0;1792.0;913.0;879.0;1797.0;923.0;874.0;1832.0;945.0;887.0;1761.0;941.0;820.0;1729.0;881.0;848.0;
Valladolid;3675.0;1907.0;1768.0;270.0;147.0;123.0;274.0;143.0;131.0;314.0;159.0;155.0;269.0;122.0;147.0;326.0;180.0;146.0;334.0;160.0;174.0;307.0;163.0;144.0;337.0;175.0;162.0;322.0;162.0;160.0;307.0;173.0;134.0;319.0;163.0;156.0;296.0;160.0;136.0;
Zamora;904.0;473.0;431.0;86.0;54.0;32.0;71.0;32.0;39.0;71.0;39.0;32.0;74.0;30.0;44.0;74.0;28.0;46.0;82.0;42.0;40.0;87.0;53.0;34.0;77.0;42.0;35.0;67.0;31.0;36.0;81.0;52.0;29.0;79.0;44.0;35.0;55.0;26.0;29.0;
Zaragoza;7862.0;4051.0;3811.0;641.0;315.0;326.0;572.0;299.0;273.0;685.0;331.0;354.0;604.0;301.0;303.0;642.0;324.0;318.0;645.0;341.0;304.0;670.0;365.0;305.0;691.0;358.0;333.0;695.0;361.0;334.0;691.0;355.0;336.0;713.0;375.0;338.0;613.0;326.0;287.0;
Ceuta;1045.0;555.0;490.0;94.0;51.0;43.0;82.0;48.0;34.0;82.0;47.0;35.0;73.0;38.0;35.0;53.0;33.0;20.0;85.0;46.0;39.0;89.0;46.0;43.0;109.0;49.0;60.0;101.0;55.0;46.0;90.0;44.0;46.0;95.0;50.0;45.0;92.0;48.0;44.0;
Melilla;1342.0;716.0;626.0;128.0;81.0;47.0;111.0;59.0;52.0;97.0;46.0;51.0;99.0;50.0;49.0;122.0;61.0;61.0;123.0;61.0;62.0;124.0;71.0;53.0;131.0;66.0;65.0;108.0;54.0;54.0;93.0;48.0;45.0;106.0;63.0;43.0;100.0;56.0;44.0;
Extranjero;1916.0;1036.0;880.0;162.0;93.0;69.0;148.0;78.0;70.0;143.0;79.0;64.0;147.0;71.0;76.0;170.0;90.0;80.0;163.0;93.0;70.0;174.0;101.0;73.0;180.0;106.0;74.0;171.0;89.0;82.0;145.0;65.0;80.0;182.0;107.0;75.0;131.0;64.0;67.0;
Notas:
Fuente: Instituto Nacional de Estadística
